,dong,apt,addr_kr,exclusive_use_area,year_of_completion,floor,gu,transaction_real_price,predict,difference,ratio,ratio_Abs
16,풍납동,극동,풍납동 391 극동,79.945,1987,14,송파구,50000,54413.535851161505,-4413.535851161505,-0.0882707170232301,0.0882707170232301
17,거여동,현대3차,거여동 46 현대3차,84.94,1993,13,송파구,48000,48766.62883008814,-766.6288300881424,-0.015971433960169635,0.015971433960169635
18,도원동,삼성래미안,도원동 23 삼성래미안,114.99,2001,17,용산구,73500,75180.98521881913,-1680.985218819129,-0.02287054719481808,0.02287054719481808
19,응봉동,대림강변,응봉동 15 대림강변,84.42,2001,2,성동구,60000,60732.25568843609,-732.2556884360893,-0.012204261473934821,0.012204261473934821
20,응암동,백련산힐스테이트3차,응암동 761 백련산힐스테이트3차,59.63,2011,4,은평구,43700,41848.29463120115,1851.7053687988519,0.042373120567479446,0.042373120567479446
21,상도동,상도엠코타운애스톤파크,상도동 533 상도엠코타운애스톤파크,84.884,2013,8,동작구,72900,72952.68843077516,-52.68843077516067,-0.0007227493933492547,0.0007227493933492547
22,중계동,현대(6차),중계동 34 현대(6차),84.98,1999,3,노원구,41500,40977.337973528636,522.6620264713638,0.012594265698105152,0.012594265698105152
23,고척동,서울가든,고척동 141-1 서울가든,64.39,1989,6,구로구,32000,30823.21782928157,1176.7821707184303,0.036774442834950946,0.036774442834950946
24,봉천동,현대(관악),봉천동 1000 현대(관악),123.29,1992,3,관악구,56000,54147.285444171976,1852.7145558280245,0.033084188496929005,0.033084188496929005
25,천호동,코오롱상가,천호동 410-100 코오롱상가,59.97,1988,12,강동구,41800,40908.00643517266,891.9935648273386,0.02133955896716121,0.02133955896716121
26,문정동,훼밀리,문정동 150 훼밀리,158.705,1988,7,송파구,124300,121955.03509503705,2344.9649049629516,0.0188653652853013,0.0188653652853013
27,월계동,동신,월계동 436 동신,71.77,1983,4,노원구,28000,28839.571966592503,-839.5719665925026,-0.029984713092589377,0.029984713092589377
28,응봉동,대림강변,응봉동 15 대림강변,84.42,2001,20,성동구,67700,66886.02462851531,813.9753714846884,0.012023269888990966,0.012023269888990966
29,방배동,방배1차현대홈타운,방배동 1344 방배1차현대홈타운,59.94,1999,3,서초구,83000,76378.06651439487,6621.933485605128,0.07978233115186902,0.07978233115186902
30,논현동,신동아(22),논현동 22 신동아(22),114.34,1997,12,강남구,104500,107802.3921163913,-3302.3921163913037,-0.03160183843436654,0.03160183843436654
31,상계동,은빛1단지,상계동 1255 은빛1단지,39.69,1998,14,노원구,19700,21078.58726628808,-1378.5872662880793,-0.06997904905015631,0.06997904905015631
32,길음동,길음뉴타운6단지(래미안),길음동 1283 길음뉴타운6단지(래미안),59.37300000000001,2007,17,성북구,54000,50757.47477831519,3242.5252216848094,0.060046763364533504,0.060046763364533504
33,신도림동,대림1,신도림동 642 대림1,59.88,1999,1,구로구,40400,38748.48137265652,1651.518627343481,0.04087917394414557,0.04087917394414557
34,전농동,래미안 크레시티,전농동 690 래미안 크레시티,84.96,2014,9,동대문구,64000,65659.05859202142,-1659.0585920214216,-0.025922790500334712,0.025922790500334712
35,미아동,미아동부센트레빌,미아동 474 미아동부센트레빌,59.96,2006,4,강북구,45500,39950.93854161926,5549.06145838074,0.1219573946896866,0.1219573946896866
36,상봉동,건영2차아파트,상봉동 63 건영2차아파트,84.96,1996,2,중랑구,35000,37137.13369904449,-2137.1336990444906,-0.06106096282984259,0.06106096282984259
37,상계동,은빛1단지,상계동 1255 은빛1단지,49.77,1998,5,노원구,24500,25490.030331788632,-990.0303317886319,-0.04040940129749518,0.04040940129749518
38,중계동,주공4,중계동 358-2 주공4,59.39,1991,4,노원구,30000,29877.72181805808,122.2781819419215,0.00407593939806405,0.00407593939806405
39,오류동,금강(343),오류동 343 금강(343),60.053999999999995,2003,2,구로구,37500,38252.163020566055,-752.1630205660549,-0.02005768054842813,0.02005768054842813
40,오금동,우방,오금동 138 우방,114.96,2001,17,송파구,59700,58414.291809929826,1285.7081900701742,0.021536150587440104,0.021536150587440104
41,신정동,대성유니드2차,신정동 1198-3 대성유니드2차,59.95,2004,4,양천구,31800,34774.24745583734,-2974.2474558373433,-0.09352979420872148,0.09352979420872148
42,목동,동구햇살아파트,목동 724-2 동구햇살아파트,84.96,2003,12,양천구,41500,53159.6900399926,-11659.690039992602,-0.2809563865058458,0.2809563865058458
43,둔촌동,둔촌푸르지오,둔촌동 630 둔촌푸르지오,84.9,2010,15,강동구,72300,72983.35843358579,-683.3584335857886,-0.009451707241850465,0.009451707241850465
44,가락동,가락(1차)쌍용아파트,가락동 140 가락(1차)쌍용아파트,59.92,1997,20,송파구,62000,55005.7305923693,6994.269407630702,0.11281079689726937,0.11281079689726937
45,수서동,까치마을,수서동 746 까치마을,49.5,1993,3,강남구,70000,66467.99099483779,3532.00900516221,0.05045727150231729,0.05045727150231729
46,신림동,신림현대,신림동 1694 신림현대,59.85,1993,13,관악구,36500,34610.461893879765,1889.5381061202352,0.051768167290965346,0.051768167290965346
47,내발산동,우장산힐스테이트,내발산동 657 우장산힐스테이트,59.98,2005,8,강서구,60000,62072.92906184324,-2072.9290618432424,-0.03454881769738737,0.03454881769738737
48,둔촌동,둔촌주공1단지,둔촌동 170-1 둔촌주공1단지,80.03,1980,5,강동구,95000,94277.5993063529,722.4006936470978,0.007604217827864188,0.007604217827864188
49,노량진동,신동아리버파크,노량진동 325 신동아리버파크,84.88,2001,14,동작구,51000,52958.17860166002,-1958.1786016600236,-0.038395658856078894,0.038395658856078894
50,이촌동,현대한강,이촌동 400 현대한강,59.55,1997,14,용산구,69500,70660.10970123172,-1160.1097012317186,-0.016692225917003145,0.016692225917003145
51,창동,금용,창동 809 금용,59.97,1997,2,도봉구,24000,27479.485791491046,-3479.4857914910463,-0.14497857464546027,0.14497857464546027
52,묵동,묵동자이(1단지),묵동 164-4 묵동자이(1단지),111.32,2010,34,중랑구,63000,66277.2976312177,-3277.297631217705,-0.052020597320915955,0.052020597320915955
53,대치동,은마,대치동 316 은마,76.79,1979,14,강남구,117000,115895.93254260109,1104.067457398909,0.009436473994862471,0.009436473994862471
54,도화동,도화동현대,도화동 357 도화동현대,68.22,1996,13,마포구,52500,51246.611253258045,1253.3887467419554,0.023874071366513438,0.023874071366513438
55,하계동,한신동성,하계동 256-5 한신동성,138.29,1993,4,노원구,56000,54848.479367551634,1151.520632448366,0.020562868436577966,0.020562868436577966
56,자양동,우성2,자양동 520-2 우성2,51.57,1989,13,광진구,48000,45254.28009167645,2745.7199083235464,0.05720249809007388,0.05720249809007388
57,답십리동,래미안위브,답십리동 1003 래미안위브,84.98,2014,7,동대문구,67500,67088.31380684533,411.6861931546737,0.006099054713402573,0.006099054713402573
58,잠원동,블루힐하우스,잠원동 71-1 블루힐하우스,84.54,1999,17,서초구,114000,117271.24574480827,-3271.2457448082714,-0.028695138112353257,0.028695138112353257
59,남가좌동,DMC파크뷰자이5단지,남가좌동 385 DMC파크뷰자이5단지,59.981,2015,4,서대문구,60000,58380.45177380672,1619.5482261932775,0.026992470436554627,0.026992470436554627
60,문정동,문정래미안,문정동 1 문정래미안,84.96,2004,11,송파구,70500,76538.60816348948,-6038.60816348948,-0.08565401650339688,0.08565401650339688
61,광장동,현대파크빌,광장동 577 현대파크빌,59.55,2000,5,광진구,66000,61704.31412687889,4295.6858731211105,0.0650861495927441,0.0650861495927441
62,장안동,방원예뜨랑,장안동 556 방원예뜨랑,75.35,2002,10,동대문구,30000,38177.85206589305,-8177.85206589305,-0.2725950688631017,0.2725950688631017
63,방배동,방배신삼호,방배동 725 방배신삼호,105.04,1983,3,서초구,120000,106774.63668368514,13225.363316314862,0.11021136096929052,0.11021136096929052
64,우면동,서초참누리에코리치,우면동 753 서초참누리에코리치,118.1321,2013,20,서초구,116000,108542.33663719763,7457.66336280237,0.06429020140346871,0.06429020140346871
65,불광동,신우빌라트,불광동 241-23 신우빌라트,59.97,1995,10,은평구,29000,30133.281850819894,-1133.2818508198943,-0.03907868451103084,0.03907868451103084
66,개포동,개포주공 4단지,개포동 189 개포주공 4단지,42.55,1982,1,강남구,85000,94586.01035972557,-9586.010359725566,-0.11277659246735959,0.11277659246735959
67,암사동,롯데캐슬퍼스트,암사동 414-2 롯데캐슬퍼스트,84.98,2008,17,강동구,70000,69448.39605475412,551.603945245879,0.007880056360655415,0.007880056360655415
68,상도동,상도 엠코타운 센트럴파크,상도동 531 상도 엠코타운 센트럴파크,118.2086,2012,3,동작구,89800,87108.38395142644,2691.61604857356,0.029973452656721158,0.029973452656721158
69,수서동,강남데시앙포레,수서동 BL-1 강남데시앙포레,59.74,2014,11,강남구,72000,78336.79541394589,-6336.795413945889,-0.08801104741591512,0.08801104741591512
70,성수동1가,한진타운,성수동1가 704 한진타운,84.21,1994,3,성동구,81000,66612.69681649224,14387.303183507756,0.1776210269568859,0.1776210269568859
71,고척동,고척파크푸르지오,고척동 339 고척파크푸르지오,84.94,2009,1,구로구,49700,49612.77060157481,87.22939842518826,0.001755118680587289,0.001755118680587289
72,봉천동,관악드림(동아),봉천동 1712 관악드림(동아),84.96,2003,20,관악구,48500,47750.6437811127,749.3562188872966,0.015450643688397867,0.015450643688397867
73,봉천동,두산,봉천동 1708 두산,59.92,2000,6,관악구,43500,45599.9417776595,-2099.9417776595,-0.04827452362435632,0.04827452362435632
74,한강로2가,벽산메가트리움,한강로2가 2-8 벽산메가트리움,116.28,2005,11,용산구,90000,92650.71140497219,-2650.711404972186,-0.029452348944135398,0.029452348944135398
75,상도동,현대(관악),상도동 407 현대(관악),84.78,1992,1,동작구,39800,42385.75406954961,-2585.7540695496136,-0.06496869521481441,0.06496869521481441
76,장안동,래미안장안2차(329-3),장안동 329-3 래미안장안2차(329-3),81.05,2007,15,동대문구,49400,50230.05897656863,-830.0589765686309,-0.016802813290862972,0.016802813290862972
77,신림동,관악산휴먼시아 2단지,신림동 1735 관악산휴먼시아 2단지,84.97,2008,5,관악구,40700,42005.65191203195,-1305.65191203195,-0.03207989955852457,0.03207989955852457
78,잠원동,훼미리,잠원동 51 훼미리,84.9,1992,9,서초구,118500,106133.7604353059,12366.2395646941,0.10435645202273502,0.10435645202273502
79,신림동,신안,신림동 10-10 신안,56.86,1978,4,관악구,22000,23831.044242962984,-1831.0442429629838,-0.08322928377104472,0.08322928377104472
80,구로동,롯데,구로동 1263 롯데,59.68,1999,10,구로구,40400,40553.11743820317,-153.1174382031677,-0.003790035599088309,0.003790035599088309
81,상계동,상계주공13(고층),상계동 637 상계주공13(고층),49.94,1989,10,노원구,29000,26159.951339917683,2840.048660082317,0.09793271241663162,0.09793271241663162
82,현저동,독립문파크빌,현저동 1019 독립문파크빌,59.4,2000,2,서대문구,34000,33286.63109741713,713.3689025828717,0.020981438311260932,0.020981438311260932
83,강일동,강일리버파크5단지,강일동 670 강일리버파크5단지,84.74,2009,8,강동구,53000,52292.31647905444,707.6835209455603,0.01335251926312378,0.01335251926312378
84,명일동,삼환,명일동 47 삼환,84.92,1992,8,강동구,62000,62654.4531783907,-654.4531783907005,-0.01055569642565646,0.01055569642565646
85,성산동,성산시영(대우),성산동 446 성산시영(대우),50.03,1986,10,마포구,43300,44686.3712091031,-1386.3712091030975,-0.03201781083378978,0.03201781083378978
86,우면동,서초참누리에코리치,우면동 753 서초참누리에코리치,101.0482,2013,8,서초구,94500,93029.45441023105,1470.5455897689535,0.015561328992264058,0.015561328992264058
87,상계동,상계주공7(고층),상계동 691 상계주공7(고층),45.9,1988,13,노원구,28500,27715.150297175205,784.8497028247948,0.027538586064027887,0.027538586064027887
88,신천동,파크리오,신천동 17 파크리오,84.9,2008,6,송파구,107000,97380.0524693329,9619.947530667094,0.08990605168847751,0.08990605168847751
89,신정동,동일하이빌1단지,신정동 1310 동일하이빌1단지,115.321,2005,13,양천구,59800,60905.53677965296,-1105.5367796529608,-0.01848723711794249,0.01848723711794249
90,화곡동,남광아파트,화곡동 920-15 남광아파트,51.86,2017,7,강서구,27000,26410.217494214885,589.7825057851151,0.02184379651055982,0.02184379651055982
91,신당동,현대,신당동 840 현대,83.97,1993,5,중구,52500,45385.409637798184,7114.590362201816,0.13551600689908222,0.13551600689908222
92,금호동4가,대우,금호동4가 800 대우,84.96,2001,17,성동구,64400,69122.72868632077,-4722.72868632077,-0.07333429637144052,0.07333429637144052
93,창동,동아청솔,창동 808 동아청솔,84.97,1997,14,도봉구,48300,49619.302627564866,-1319.3026275648663,-0.02731475419388957,0.02731475419388957
94,상계동,상계주공1(고층),상계동 765 상계주공1(고층),32.39,1988,5,노원구,22300,22968.03837504458,-668.0383750445799,-0.02995687780468968,0.02995687780468968
95,자양동,광진하우스토리한강,자양동 813 광진하우스토리한강,141.54,2008,15,광진구,101100,108102.74466136875,-7002.74466136875,-0.06926552582956232,0.06926552582956232
96,면목동,용마한신,면목동 1077-1 용마한신,35.44,1990,11,중랑구,21800,20573.351573507996,1226.6484264920036,0.056268276444587324,0.056268276444587324
97,월계동,삼호3,월계동 13 삼호3,59.22,1986,9,노원구,39700,37435.16150146262,2264.8384985373777,0.05704882867852337,0.05704882867852337
98,창동,동아청솔,창동 808 동아청솔,134.94,1997,7,도봉구,60000,60003.275113131436,-3.2751131314362283,-5.458521885727047e-05,5.458521885727047e-05
99,천왕동,천왕이펜하우스4단지,천왕동 가-273 천왕이펜하우스4단지,84.97,2011,6,구로구,45500,48836.49810751162,-3336.498107511623,-0.07332962873651919,0.07332962873651919
100,흑석동,흑석한강센트레빌Ⅱ,흑석동 339 흑석한강센트레빌Ⅱ,84.95100000000002,2012,5,동작구,69800,75164.2161720177,-5364.2161720176955,-0.07685123455612744,0.07685123455612744
101,하계동,청솔(시영7),하계동 274 청솔(시영7),49.5,1989,7,노원구,26000,26177.333974476198,-177.3339744761979,-0.006820537479853766,0.006820537479853766
102,길음동,길음뉴타운4단지(e편한세상),길음동 1281 길음뉴타운4단지(e편한세상),59.97,2005,15,성북구,45500,42694.82723418495,2805.1727658150485,0.061652148699231836,0.061652148699231836
103,장안동,현대홈타운2차,장안동 569 현대홈타운2차,84.97,2005,1,동대문구,41500,41134.09033975378,365.9096602462232,0.008817100246896945,0.008817100246896945
104,봉천동,은천1,봉천동 1707 은천1,84.65,2001,9,관악구,60000,54026.115246173686,5973.884753826314,0.09956474589710523,0.09956474589710523
105,광장동,워커힐푸르지오,광장동 148-4 워커힐푸르지오,65.65,1987,4,광진구,52000,52959.66429717439,-959.6642971743931,-0.0184550826379691,0.0184550826379691
106,신내동,신내11대명,신내동 661 신내11대명,49.77,1996,13,중랑구,26900,26921.286300442087,-21.28630044208694,-0.0007913122840924513,0.0007913122840924513
107,상봉동,건영2차아파트,상봉동 63 건영2차아파트,74.25,1996,18,중랑구,37000,35701.242398631286,1298.757601368714,0.035101556793749024,0.035101556793749024
108,묵동,묵동포레시타,묵동 393 묵동포레시타,14.95,2013,3,중랑구,11400,10333.025315720432,1066.9746842795685,0.09359427055083934,0.09359427055083934
109,장안동,현대(95-1),장안동 95-1 현대(95-1),95.39,1984,3,동대문구,43000,38401.069583346434,4598.930416653566,0.10695187015473409,0.10695187015473409
110,독산동,호정타워,독산동 1069 호정타워,59.44,1993,4,금천구,23900,25873.17858972074,-1973.178589720741,-0.0825597736284829,0.0825597736284829
111,창동,창동주공18단지,창동 30 창동주공18단지,84.41,1988,4,도봉구,45000,40756.47613112076,4243.523868879238,0.09430053041953862,0.09430053041953862
112,천왕동,천왕연지타운1단지,천왕동 280 천왕연지타운1단지,59.97,2013,7,구로구,47300,44989.99722718037,2310.002772819629,0.04883726792430506,0.04883726792430506
113,신정동,목동2삼성래미안,신정동 1295 목동2삼성래미안,84.65,2001,2,양천구,58000,53600.534292491175,4399.465707508825,0.07585285702601423,0.07585285702601423
114,상도동,상도 엠코타운 센트럴파크,상도동 531 상도 엠코타운 센트럴파크,84.7835,2012,7,동작구,70000,74147.76682137822,-4147.766821378216,-0.05925381173397452,0.05925381173397452
115,장지동,송파파인타운10단지,장지동 856 송파파인타운10단지,59.95,2007,12,송파구,59400,61691.475123663644,-2291.475123663644,-0.038577022283899726,0.038577022283899726
116,풍납동,쌍용,풍납동 401-1 쌍용,84.85,1994,11,송파구,58000,59213.40986929945,-1213.409869299452,-0.020920859815507797,0.020920859815507797
117,당산동2가,현대,당산동2가 164 현대,82.77,1994,2,영등포구,54000,53781.5305463731,218.46945362690167,0.004045730622720401,0.004045730622720401
118,삼성동,삼성동한솔아파트,삼성동 4-6 삼성동한솔아파트,109.51,1998,14,강남구,124000,112223.50718811262,11776.49281188738,0.09497171622489822,0.09497171622489822
119,상수동,래미안밤섬리베뉴 Ⅱ,상수동 398 래미안밤섬리베뉴 Ⅱ,84.92,2014,20,마포구,92000,90326.20136962862,1673.7986303713842,0.018193463373602003,0.018193463373602003
120,창동,대우,창동 804 대우,59.86,1995,1,도봉구,28000,28739.13008554109,-739.1300855410882,-0.026397503055038865,0.026397503055038865
121,거여동,현대1차,거여동 362 현대1차,84.85,1992,13,송파구,55000,56484.34544457887,-1484.3454445788666,-0.02698809899234303,0.02698809899234303
122,하계동,장미(시영6),하계동 273 장미(시영6),43.41,1989,10,노원구,24000,22675.423766730433,1324.5762332695667,0.05519067638623195,0.05519067638623195
123,남가좌동,남가좌동현대,남가좌동 376 남가좌동현대,84.78,1999,20,서대문구,48500,50214.33748409295,-1714.3374840929464,-0.035347164620473125,0.035347164620473125
124,월계동,초안1,월계동 923 초안1,39.6,1998,7,노원구,18300,17567.471420692735,732.5285793072653,0.04002888411515111,0.04002888411515111
125,면목동,면목삼호101,면목동 1513 면목삼호101,59.67,2000,8,중랑구,34800,32462.610073516378,2337.389926483622,0.06716637719780523,0.06716637719780523
126,대림동,신동아,대림동 777-1 신동아,53.37,1987,6,영등포구,26800,26660.898200885622,139.10179911437808,0.005190365638596197,0.005190365638596197
127,독산동,독산주공14단지,독산동 1088 독산주공14단지,44.89,1990,6,금천구,23700,23170.326916815902,529.6730831840978,0.02234907523983535,0.02234907523983535
128,개포동,성원대치2단지아파트,개포동 12 성원대치2단지아파트,33.18,1992,10,강남구,65000,55312.782717170216,9687.217282829784,0.14903411204353514,0.14903411204353514
129,길동,강동LG자이,길동 474 강동LG자이,126.43,2003,4,강동구,74500,70166.36569072907,4333.6343092709285,0.05816958804390508,0.05816958804390508
130,홍제동,홍제삼성래미안,홍제동 461 홍제삼성래미안,60.0,2001,9,서대문구,39900,39914.29090914589,-14.290909145893238,-0.00035816814901988065,0.00035816814901988065
131,홍은동,극동,홍은동 454 극동,84.92,1995,15,서대문구,30500,32247.906097077546,-1747.9060970775463,-0.05730839662549332,0.05730839662549332
132,공릉동,태강아파트,공릉동 81 태강아파트,49.6,1999,6,노원구,26900,26811.34091324498,88.6590867550185,0.0032958768310415803,0.0032958768310415803
133,구로동,주공1,구로동 685-222 주공1,84.87,1986,5,구로구,48000,46270.20993435727,1729.79006564273,0.036037293034223546,0.036037293034223546
134,원효로4가,강변삼성스위트,원효로4가 178 강변삼성스위트,84.9,1999,10,용산구,77800,68999.94013230401,8800.059867695993,0.11311130935341893,0.11311130935341893
135,삼성동,삼성동롯데아파트,삼성동 17 삼성동롯데아파트,59.4,2000,4,강남구,90000,81814.01567598504,8185.984324014964,0.09095538137794404,0.09095538137794404
136,신내동,영풍마드레빌,신내동 801 영풍마드레빌,84.8485,2004,9,중랑구,38300,39682.582582229414,-1382.5825822294137,-0.036098761938104795,0.036098761938104795
137,월계동,극동,월계동 803-1 극동,80.28,1996,4,노원구,29000,27933.673009787588,1066.326990212412,0.0367698962142211,0.0367698962142211
138,마곡동,마곡힐스테이트,마곡동 725-1 마곡힐스테이트,59.99,2017,4,강서구,68000,64111.8157877003,3888.184212299697,0.0571791795926426,0.0571791795926426
139,송파동,송파삼성래미안아파트,송파동 162 송파삼성래미안아파트,79.7,2001,22,송파구,73200,75744.88594872686,-2544.8859487268637,-0.03476620148533967,0.03476620148533967
140,신대방동,해태보라매타워,신대방동 708 해태보라매타워,84.04,1996,17,동작구,40000,57297.87647409441,-17297.87647409441,-0.4324469118523602,0.4324469118523602
141,공릉동,삼익아파트,공릉동 737 삼익아파트,84.6,1995,7,노원구,41000,38354.04788121522,2645.9521187847786,0.06453541753133606,0.06453541753133606
142,신천동,장미1,신천동 7 장미1,82.45,1979,14,송파구,95000,108467.47899713254,-13467.478997132537,-0.14176293681192145,0.14176293681192145
143,목동,삼익,목동 933 삼익,84.88,1997,9,양천구,59500,63151.93587480935,-3651.935874809351,-0.06137707352620758,0.06137707352620758
144,면목동,두산3,면목동 1511 두산3,84.77,1995,16,중랑구,38900,38901.13248310994,-1.1324831099409494,-2.9112676348096383e-05,2.9112676348096383e-05
145,방학동,한화/성원아파트,방학동 731 한화/성원아파트,59.88,1996,7,도봉구,23800,23858.767579936637,-58.76757993663705,-0.002469226047757859,0.002469226047757859
146,신정동,신정6현대,신정동 743-2 신정6현대,114.8,2000,21,양천구,50000,53752.4003781017,-3752.400378101702,-0.07504800756203403,0.07504800756203403
147,방이동,올림픽선수기자촌2단지,방이동 89 올림픽선수기자촌2단지,83.06,1988,5,송파구,100000,105109.977988593,-5109.977988593004,-0.051099779885930036,0.051099779885930036
148,거여동,거여2단지효성,거여동 291 거여2단지효성,134.88,1997,4,송파구,80000,73902.4377255738,6097.562274426193,0.07621952843032741,0.07621952843032741
149,방화동,신동아,방화동 796 신동아,59.4,1995,9,강서구,37000,36007.460683311314,992.5393166886861,0.026825386937532055,0.026825386937532055
150,염창동,현대3,염창동 291 현대3,59.92,1996,4,강서구,31800,35854.5859007604,-4054.5859007604013,-0.12750270128177363,0.12750270128177363
151,상도동,상도엠코타운애스톤파크,상도동 533 상도엠코타운애스톤파크,84.95100000000002,2013,3,동작구,68500,72316.61436348344,-3816.6143634834443,-0.05571699800705758,0.05571699800705758
152,중계동,성원1,중계동 580 성원1,84.78,1996,16,노원구,49500,48591.18113449291,908.8188655070917,0.018359977080951346,0.018359977080951346
153,쌍문동,삼익세라믹,쌍문동 56 삼익세라믹,58.77,1988,12,도봉구,24500,24738.147067917278,-238.14706791727804,-0.009720288486419511,0.009720288486419511
154,진관동,은평뉴타운 우물골(두산위브5단지),진관동 83 은평뉴타운 우물골(두산위브5단지),59.89,2009,4,은평구,47500,49743.49299657205,-2243.492996572051,-0.047231431506780025,0.047231431506780025
155,미아동,에스케이북한산시티,미아동 1353 에스케이북한산시티,84.92,2004,16,강북구,42000,41742.09295965828,257.90704034172086,0.006140643817660021,0.006140643817660021
156,창동,창동주공4단지,창동 373 창동주공4단지,49.94,1991,7,도봉구,25600,27348.07975618152,-1748.0797561815198,-0.06828436547584062,0.06828436547584062
157,장지동,송파파인타운3단지,장지동 849 송파파인타운3단지,84.93,2008,17,송파구,68100,69215.3583682971,-1115.358368297093,-0.01637824329364307,0.01637824329364307
158,이촌동,이촌코오롱(A),이촌동 412 이촌코오롱(A),59.82,1999,3,용산구,65000,73445.43927959364,-8445.439279593644,-0.12992983507067143,0.12992983507067143
159,대림동,신대림 신동아파밀리에,대림동 1124 신대림 신동아파밀리에,84.9563,2013,2,영등포구,49000,49430.69891548845,-430.69891548845044,-0.00878977378547858,0.00878977378547858
160,청량리동,한신,청량리동 60 한신,114.95,1997,10,동대문구,49400,49011.39024647562,388.60975352438254,0.007866594200898433,0.007866594200898433
161,신천동,파크리오,신천동 17 파크리오,35.24,2008,11,송파구,60000,61793.55481706782,-1793.554817067823,-0.02989258028446372,0.02989258028446372
162,창동,창동주공2단지,창동 316 창동주공2단지,49.94,1990,4,도봉구,29000,30329.895070256214,-1329.8950702562142,-0.04585845069849015,0.04585845069849015
163,신림동,관악산휴먼시아 2단지,신림동 1735 관악산휴먼시아 2단지,84.97,2008,20,관악구,45700,43633.07957281515,2066.9204271848503,0.04522801810032495,0.04522801810032495
164,서초동,현대ESA,서초동 1338 현대ESA,163.95,2002,7,서초구,89900,93161.79783652435,-3261.797836524347,-0.036282512085921544,0.036282512085921544
165,하월곡동,동신,하월곡동 219 동신,59.88,1998,15,성북구,33000,31800.67038149984,1199.32961850016,0.03634332177273212,0.03634332177273212
166,중계동,주공5,중계동 359-1 주공5,76.51,1992,15,노원구,42700,44189.31608953543,-1489.3160895354304,-0.03487859694462366,0.03487859694462366
167,아현동,마포래미안푸르지오3단지,아현동 777 마포래미안푸르지오3단지,84.8919,2014,19,마포구,85000,94257.80967814736,-9257.809678147358,-0.1089154079782042,0.1089154079782042
168,장안동,현대홈타운3차,장안동 571 현대홈타운3차,84.29,2006,7,동대문구,45000,41234.674798003594,3765.3252019964057,0.0836738933776979,0.0836738933776979
169,신천동,장미2,신천동 11 장미2,99.0,1979,12,송파구,116500,114849.47998118524,1650.5200188147573,0.014167553809568733,0.014167553809568733
170,구로동,대신빌라,구로동 779-24 대신빌라,54.18,1996,5,구로구,16200,24154.27462686356,-7954.27462686356,-0.49100460659651607,0.49100460659651607
171,고척동,청구,고척동 326 청구,59.94,1999,14,구로구,30500,29743.41330718512,756.5866928148789,0.02480612107589767,0.02480612107589767
